PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,n
-0.48982283,0.87456626,-0.42894563,0.30268258,-0.010788776,-0.75990283,-0.6652368,0.13253254,-0.04412708,-0.058515698,95
-0.45816648,-0.8346447,-0.65980834,-0.019380337,-0.1147271,-0.8557459,-0.105171174,-0.6147193,0.64306694,-0.3981241,96
-0.54444855,0.8653857,-0.51077753,0.4621,-0.1750148,-1.0563104,-0.059895016,-0.14275426,0.33701456,0.53085524,97
-0.5286116,-0.8319081,-0.5797991,-0.014169887,-0.16609251,-0.7761428,0.30876693,0.13683791,0.057270896,0.053246874,98
-0.6119606,0.7769937,-0.5028101,0.32720724,0.0057716123,-0.56765366,-0.29743883,-0.3132858,0.37538648,0.26005748,99
-0.60093945,-0.7364338,-0.57542866,-0.0635466,-0.08203581,-0.19674592,0.120565265,-0.13553682,0.5224345,0.7844062,100
-0.6671814,0.8529801,-0.45727047,0.3146502,0.0049176873,-0.6730612,-0.42301205,-0.07241373,0.12361079,0.26851594,101
-0.6388238,-0.677478,-0.603989,-0.09847251,-0.1906994,-0.527328,0.3476773,0.42686465,0.33049253,-0.13081968,102
-0.74292475,0.7388957,-0.5123876,0.10281367,-0.10848298,-0.6187469,0.5614254,0.29177883,0.20865774,0.072376296,103
-0.71080166,-0.7168747,-0.49035752,-0.30895722,-0.2529913,0.15096329,0.02562681,-0.17942607,-0.12912083,0.094134554,104
-0.79620326,0.8973896,-0.42611268,-0.047936615,-0.4104458,0.074710935,0.046948288,-0.22999202,0.08073382,0.27010173,105
-0.7990045,-0.7005705,-0.4040326,-0.35605282,-0.37978706,0.1109484,0.045206014,-0.3952136,0.67851335,0.44323224,106
-0.87068653,0.81074476,-0.39097878,0.056189097,-0.43156978,-0.07067244,0.15069899,0.09513263,-0.4726185,0.13707277,107
-0.8361852,-0.72668576,-0.3645175,-0.23975712,-0.41548416,0.5580869,-0.029193249,0.11843501,-0.04482793,0.068422355,108
-0.9249163,0.7851094,-0.20451312,0.112138316,-0.53958297,0.023460051,0.05389123,-0.18745439,-0.20419222,0.23447642,109
-0.90799177,-0.7503172,-0.3114529,-0.28209677,-0.7469544,0.9306721,-0.0786735,0.25222263,0.49256334,0.09238226,110
-0.98673147,0.7791761,-0.22124898,0.04693599,-0.49190944,0.64280653,0.15084599,0.107766315,0.24896328,0.11600598,111
-0.9657952,-0.7839456,-0.3434209,-0.16262297,-0.65891784,0.7511532,0.06400977,-0.6738061,-0.36590418,-0.3965561,112
-1.0662473,0.6892989,-0.20625721,0.3689277,-0.52027583,0.5336853,0.43036342,-0.17094582,-0.5496216,-0.04596975,113
-1.0204641,-0.77481496,-0.3600053,0.20738953,-0.44912693,0.53386074,0.088621885,-0.20679608,0.18866801,0.06844309,114
-1.1036571,0.63087606,-0.1886881,0.5986778,-0.38637894,0.26345885,-0.11309728,-0.16450661,-0.30969676,-0.515403,115
-1.0858647,-0.86429316,-0.3889603,0.40792236,-0.2259771,0.26937103,0.29319778,-0.35098153,0.57586116,0.06230924,116
-1.166383,0.5315918,-0.36282545,0.8445139,-0.2390485,0.37250328,0.35905397,-0.581537,0.35486278,0.6190402,117
-1.1293129,-0.906591,-0.41872954,0.5861179,-0.092738345,0.1654307,0.096173845,-0.8072097,0.15081944,0.4873865,118
-1.2092785,0.45585868,-0.43515074,0.962429,0.15721196,0.12028431,-0.18563217,-0.37252071,-0.069276005,0.9007394,119
-1.1879199,-0.8826475,-0.4917474,0.743571,0.3710197,0.25187838,0.07231136,-0.54741156,0.53184766,0.32023725,120
-1.2512053,0.4102008,-0.42186338,1.0461508,0.29889262,0.06328566,-0.7423947,-0.4013403,-0.16811363,0.16251189,121
-1.2196697,-0.83168864,-0.5792791,0.880339,0.51170003,0.01835892,-0.06972227,0.0059456853,0.016232872,-0.5931263,122
-1.3069333,0.41361684,-0.5599083,1.2037129,0.44234285,-0.27087146,0.51060075,-0.0054109283,-0.20116971,-0.7013344,123
-1.2885544,-0.7382347,-0.6621648,1.0413527,0.91529953,-0.3929547,-0.02646553,0.083300896,0.016865792,-0.30128846,124
-1.3615952,0.21782628,-0.48231372,1.10853,0.9584276,0.029115312,-0.22273266,-0.08007989,-0.059849963,-0.6489333,125
