PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
5.3920927,-0.76607424,1.0248357,1.1821382,0.14346218,-0.53795946,-0.24815112,0.4741502,1.4635918,0.55509055,15-22,15,22
5.213782,-0.84495276,-1.0114616,1.2664794,-0.4785013,-0.24229497,-0.39293912,0.39630088,1.4750117,0.1758318,15-23,15,23
5.2703357,-0.7782297,1.2585127,0.91858464,-0.30127907,-0.23863651,-0.5317128,0.5590119,1.4475685,0.1780888,15-24,15,24
5.1254063,-0.85677403,-0.7511026,1.0911872,-1.1147556,0.17112046,-0.26926884,0.6467822,1.2669742,0.2949835,15-25,15,25
5.1496162,-0.7938403,1.2767293,0.8043792,-0.62338614,-0.04549413,-0.29710338,0.74852973,1.1379889,0.44848388,15-26,15,26
5.007593,-0.8523919,-0.67475474,0.8395964,-1.3294845,0.35398245,-0.091560945,0.87953746,1.0122579,0.5580589,15-27,15,27
5.047619,-0.78664833,1.6198083,0.5578639,-1.0980226,0.29280794,0.027112817,0.921509,0.786553,0.8183451,15-28,15,28
4.8561125,-0.87729645,-0.66845393,0.6839881,-1.1750376,0.3335744,0.3059723,0.9900622,0.8814929,1.2242576,15-29,15,29
4.8653197,-0.82580495,0.8409507,0.57460797,-0.24125493,-0.17639995,0.4597282,0.8613518,0.783557,1.6420645,15-30,15,30
4.721334,-0.90190786,-0.8136301,0.6125712,-0.6503448,-0.014947358,0.3233313,0.7875181,0.77292484,1.3285359,15-31,15,31
6.3515925,1.2962885,1.3407732,2.1988459,0.42392844,-0.9306594,0.08152138,0.076443136,1.0696855,0.0071881567,16-10,16,10
6.1513844,1.1899421,-0.9657554,2.1728501,-0.68383145,-0.33667094,-0.03700122,-0.0015204748,0.9647733,-0.4350141,16-11,16,11
6.146207,1.2779759,1.7339766,1.8915447,-0.44340712,-0.39187592,-0.12137921,0.07135682,0.9946899,-0.5283862,16-12,16,12
5.9435554,1.1733814,-0.6964545,1.8636928,-1.2484148,0.044246666,0.13895813,0.12135348,0.6491561,-0.24781868,16-13,16,13
5.9474354,1.2579062,1.8968697,1.5286471,-0.7484513,-0.06309105,0.47377554,0.2894504,0.6561442,0.16555707,16-14,16,14
5.71724,1.1722198,-0.49840915,1.6568711,-1.1649276,0.10127314,0.6143641,0.3628082,0.5638288,0.36329624,16-15,16,15
5.704243,1.2202948,1.0659935,1.3935148,-0.080358796,-0.42347863,0.49013516,0.088040374,0.6998334,0.29250142,16-16,16,16
5.514566,1.1294793,-1.1752696,1.4783372,0.07228329,-0.57636005,0.2647091,0.13904217,0.7804945,0.07319442,16-17,16,17
